"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","Раскрытие вопроса №5 в блоке 'Вопросы о важном'","Sprint 6","2026-03-12","passed","2026-03-12","Блок ""Вопросы о важном""","Главная страница","",""
"","263","Раскрытие вопроса №4 в блоке 'Вопросы о важном'","Sprint 6","2026-03-12","passed","2026-03-12","Блок ""Вопросы о важном""","Главная страница","",""
"","299","Раскрытие вопроса №0 в блоке 'Вопросы о важном'","Sprint 6","2026-03-12","passed","2026-03-12","Блок ""Вопросы о важном""","Главная страница","",""
"","316","Раскрытие вопроса №1 в блоке 'Вопросы о важном'","Sprint 6","2026-03-12","passed","2026-03-12","Блок ""Вопросы о важном""","Главная страница","",""
"","4042","Позитивный сценарий заказа самоката","Sprint 6","2026-03-12","passed","2026-03-12","Позитивный сценарий заказа","Заказ самоката","",""
"","287","Раскрытие вопроса №3 в блоке 'Вопросы о важном'","Sprint 6","2026-03-12","passed","2026-03-12","Блок ""Вопросы о важном""","Главная страница","",""
"","292","Раскрытие вопроса №2 в блоке 'Вопросы о важном'","Sprint 6","2026-03-12","passed","2026-03-12","Блок ""Вопросы о важном""","Главная страница","",""
"","4066","Позитивный сценарий заказа самоката","Sprint 6","2026-03-12","passed","2026-03-12","Позитивный сценарий заказа","Заказ самоката","",""
"","281","Раскрытие вопроса №6 в блоке 'Вопросы о важном'","Sprint 6","2026-03-12","passed","2026-03-12","Блок ""Вопросы о важном""","Главная страница","",""
"","3561","Позитивный сценарий заказа самоката","Sprint 6","2026-03-12","passed","2026-03-12","Позитивный сценарий заказа","Заказ самоката","",""
"","295","Раскрытие вопроса №7 в блоке 'Вопросы о важном'","Sprint 6","2026-03-12","passed","2026-03-12","Блок ""Вопросы о важном""","Главная страница","",""
"","3607","Позитивный сценарий заказа самоката","Sprint 6","2026-03-12","passed","2026-03-12","Позитивный сценарий заказа","Заказ самоката","",""
